DATE,SYMBOL,BULLISH,BEARISH
2013-05-03 00:40:00,GOOG,1.9,0.0
2013-05-03 04:55:00,GOOG,2.48,0.0
2013-05-03 08:05:00,GOOG,2.0,0.0
2013-05-03 08:45:00,GOOG,0.0,1.76
2013-05-03 09:40:00,GOOG,1.11,0.675
2013-05-03 09:45:00,GOOG,1.22,0.0
2013-05-03 09:50:00,GOOG,1.865,0.0
2013-05-03 09:55:00,GOOG,1.44,0.0
2013-05-03 10:00:00,GOOG,2.2,1.73
2013-05-03 10:05:00,GOOG,2.66,0.0
2013-05-03 10:10:00,GOOG,1.26,0.0
2013-05-03 10:20:00,GOOG,1.03,0.0
2013-05-03 10:30:00,GOOG,1.6,0.0
2013-05-03 10:35:00,GOOG,3.11,0.0
2013-05-03 10:40:00,GOOG,2.5,0.0
2013-05-03 10:45:00,GOOG,1.85,1.85
2013-05-03 10:50:00,GOOG,1.7,2.13
2013-05-03 10:55:00,GOOG,0.0,2.11
2013-05-03 11:05:00,GOOG,2.65,0.0
2013-05-03 11:10:00,GOOG,0.0,0.89
2013-05-03 11:20:00,GOOG,0.985,0.72
2013-05-03 11:30:00,GOOG,2.06,0.0
2013-05-03 12:00:00,GOOG,1.325,1.27
2013-05-03 12:10:00,GOOG,3.0,0.0
2013-05-03 12:30:00,GOOG,0.0,2.1
2013-05-03 12:35:00,GOOG,0.11,0.0
2013-05-03 12:40:00,GOOG,0.0,1.67
2013-05-03 13:05:00,GOOG,3.0,2.75
2013-05-03 13:15:00,GOOG,2.665,0.915
2013-05-03 13:20:00,GOOG,0.0,1.82
2013-05-03 13:30:00,GOOG,0.0,0.65
2013-05-03 13:35:00,GOOG,2.9,0.0
2013-05-03 13:50:00,GOOG,0.0,2.4
2013-05-03 14:00:00,GOOG,1.185,0.0
2013-05-03 14:20:00,GOOG,3.12,0.0
2013-05-03 14:30:00,GOOG,2.27,0.0
2013-05-03 14:35:00,GOOG,2.0,0.0
2013-05-03 14:40:00,GOOG,1.3,0.0
2013-05-03 14:45:00,GOOG,1.59,0.0
2013-05-03 14:50:00,GOOG,1.47,0.0
2013-05-03 15:00:00,GOOG,0.0,2.5
2013-05-03 15:05:00,GOOG,0.0,0.94
2013-05-03 15:20:00,GOOG,2.32,0.0
2013-05-03 15:25:00,GOOG,1.42,0.0
2013-05-03 15:30:00,GOOG,0.0,1.34
2013-05-03 15:45:00,GOOG,0.0,1.7
2013-05-03 15:50:00,GOOG,0.0,1.91
2013-05-03 16:50:00,GOOG,0.6,0.0
2013-05-03 17:10:00,GOOG,2.29,0.0
2013-05-03 17:55:00,GOOG,1.22,0.0
2013-05-03 18:20:00,GOOG,2.0,0.0
2013-05-03 18:30:00,GOOG,0.0,0.87
2013-05-03 18:45:00,GOOG,0.56,0.0
2013-05-03 18:50:00,GOOG,2.4,0.0
2013-05-03 21:10:00,GOOG,0.0,2.2
2013-05-03 22:10:00,GOOG,1.75,0.0
2013-05-03 22:20:00,GOOG,0.0,2.8
2013-05-04 00:20:00,GOOG,0.0,2.8
2013-05-04 02:15:00,GOOG,0.0,0.0
2013-05-04 09:45:00,GOOG,0.0,2.2
2013-05-04 11:35:00,GOOG,2.15,0.0
2013-05-04 12:50:00,GOOG,0.0,0.11
2013-05-04 14:25:00,GOOG,1.0,0.0
2013-05-04 14:40:00,GOOG,2.54,0.0
2013-05-04 15:10:00,GOOG,2.11,0.0
2013-05-04 18:15:00,GOOG,1.0,0.0
2013-05-04 19:40:00,GOOG,1.7,0.0
2013-05-05 03:50:00,GOOG,2.43,0.0
2013-05-05 08:45:00,GOOG,2.3,0.0
2013-05-05 09:50:00,GOOG,0.03,0.0
2013-05-05 10:30:00,GOOG,1.08,0.0
2013-05-05 11:10:00,GOOG,1.08,0.0
2013-05-05 12:20:00,GOOG,0.0,2.38
2013-05-05 13:00:00,GOOG,1.9,0.0
2013-05-05 20:45:00,GOOG,0.0,1.75
2013-05-06 00:20:00,GOOG,0.0,0.0
2013-05-06 01:25:00,GOOG,0.0,0.7
2013-05-06 06:30:00,GOOG,0.3,0.0
2013-05-06 07:20:00,GOOG,0.98,0.0
2013-05-06 08:00:00,GOOG,1.0,0.0
2013-05-06 08:20:00,GOOG,1.67,0.0
2013-05-06 08:25:00,GOOG,0.0,0.5
2013-05-06 08:30:00,GOOG,2.41,0.0
2013-05-06 08:40:00,GOOG,0.03,0.0
2013-05-06 08:45:00,GOOG,2.44,0.0
2013-05-06 08:55:00,GOOG,2.64,0.0
2013-05-06 09:00:00,GOOG,0.99,0.11
2013-05-06 09:15:00,GOOG,0.0,1.04
2013-05-06 09:25:00,GOOG,0.0,0.0
2013-05-06 09:30:00,GOOG,1.98,0.0
2013-05-06 09:40:00,GOOG,0.13,0.0
2013-05-06 09:50:00,GOOG,0.0,1.8
